timestamp,country,location_name,coordinate,timezone,last_updated_date,last_updated_time,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,AQI_PM2.5,AQI_PM10,AQI_NO2,AQI_O3,AQI_SO2,DAQI,year_month,filled_from_date
2023-08-29,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/8/29,2024/11/27 13:00,135.9,40.4,38.2,24.1,93.3,3,9,1,5,1,9,23-Aug,
2023-08-30,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/8/30,2024/11/27 6:30,8.1,85.0,29.3,14.8,39.6,2,3,2,1,1,3,23-Aug,
2023-08-31,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/8/31,2024/11/27 3:15,32.5,39.1,17.9,10.0,25.4,1,2,1,1,1,2,23-Aug,
2023-09-01,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/1,2024/11/27 3:15,0.0,97.3,60.6,68.6,125.3,9,10,2,1,1,10,23-Sep,
2023-09-02,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/2,2024/11/27 3:00,0.0,87.7,50.1,72.5,116.9,10,10,2,1,1,10,23-Sep,
2023-09-03,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/3,2024/11/27 3:15,0.0,113.8,54.8,37.1,63.9,4,5,2,1,1,5,23-Sep,
2023-09-04,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/4,2024/11/27 3:00,0.1,128.9,97.3,17.0,48.0,2,3,2,1,2,3,23-Sep,
2023-09-05,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/5,2024/11/27 3:00,0.0,102.8,75.3,18.7,45.6,2,3,2,1,1,3,23-Sep,
2023-09-06,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/6,2024/11/27 2:45,0.0,96.0,57.2,49.7,73.5,6,6,2,1,1,6,23-Sep,
2023-09-07,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/7,2024/11/27 2:30,0.0,94.6,60.6,40.4,70.7,4,6,2,1,1,6,23-Sep,
2023-09-08,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/8,2024/11/27 2:30,0.0,168.6,104.9,34.2,76.8,3,7,3,1,2,7,23-Sep,
2023-09-09,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/9,2024/11/27 2:15,0.0,219.4,137.3,36.5,61.6,4,5,4,1,2,5,23-Sep,
2023-09-10,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/10,2024/11/27 2:15,74.4,24.7,13.1,9.2,20.5,1,2,1,3,1,3,23-Sep,
2023-09-11,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/11,2024/11/27 2:15,37.2,33.6,14.5,6.2,15.0,1,1,1,2,1,2,23-Sep,
2023-09-12,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/12,2024/11/27 2:30,0.0,133.0,107.8,27.9,79.6,3,7,2,1,2,7,23-Sep,
2023-09-13,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/13,2024/11/27 2:15,0.0,111.0,80.1,21.7,57.7,2,4,2,1,1,4,23-Sep,
2023-09-14,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/14,2024/11/27 18:00,20.2,102.8,48.2,25.6,82.2,3,7,2,1,1,7,23-Sep,
2023-09-15,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/15,2024/11/27 2:00,0.0,133.0,79.2,31.2,77.1,3,7,2,1,1,7,23-Sep,
2023-09-16,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/16,2024/11/27 2:00,21.3,52.8,18.1,56.3,109.8,7,10,1,1,1,10,23-Sep,
2023-09-17,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/17,2024/11/27 2:00,0.0,111.0,51.0,36.8,79.3,4,7,2,1,1,7,23-Sep,
2023-09-18,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/18,2024/11/27 2:00,0.0,117.9,93.5,26.6,87.2,3,8,2,1,2,8,23-Sep,
2023-09-19,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/19,2024/11/27 2:00,62.2,33.6,18.4,30.2,55.5,3,4,1,2,1,4,23-Sep,
2023-09-20,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/20,2024/11/27 2:00,0.0,116.5,48.2,45.5,71.1,5,6,2,1,1,6,23-Sep,
2023-09-21,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/21,2024/11/27 2:00,0.0,127.5,86.8,22.5,75.5,2,7,2,1,1,7,23-Sep,
2023-09-22,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/22,2024/11/27 2:00,0.0,171.4,112.5,28.8,72.6,3,6,3,1,2,6,23-Sep,
2023-09-23,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/23,2024/11/27 1:45,0.0,178.2,137.3,27.9,65.8,3,5,3,1,2,5,23-Sep,
2023-09-24,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/24,2024/11/27 1:45,0.0,130.2,99.2,22.1,63.2,2,5,2,1,2,5,23-Sep,
2023-09-25,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/25,2024/11/27 1:30,0.0,149.4,93.5,32.1,77.9,3,7,3,1,2,7,23-Sep,
2023-09-26,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/26,2024/11/27 1:30,0.0,120.6,101.1,21.3,59.4,2,5,2,1,2,5,23-Sep,
2023-09-27,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/27,2024/11/27 1:30,0.0,123.4,118.3,26.3,62.6,3,5,2,1,2,5,23-Sep,
2023-09-28,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/28,2024/11/27 1:30,0.0,157.7,110.6,35.8,58.6,4,5,3,1,2,5,23-Sep,
2023-09-29,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/29,2024/11/27 2:00,0.0,170.0,85.8,32.2,66.3,3,6,3,1,1,6,23-Sep,
2023-09-30,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/9/30,2024/11/27 1:15,0.0,144.0,118.3,22.1,53.2,2,4,3,1,2,4,23-Sep,
2023-10-01,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/1,2024/11/27 1:45,0.0,91.9,58.7,14.1,35.4,2,3,2,1,1,3,23-Oct,
2023-10-02,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/2,2024/11/27 1:00,0.0,202.9,120.2,25.9,55.3,3,4,4,1,2,4,23-Oct,
2023-10-03,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/3,2024/11/27 1:30,17.5,78.1,32.4,19.5,45.5,2,3,2,1,1,3,23-Oct,
2023-10-04,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/4,2024/11/27 1:00,1.9,61.0,23.6,12.4,32.2,2,2,1,1,1,2,23-Oct,
2023-10-05,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/5,2024/11/27 1:00,0.0,104.2,53.9,20.9,32.7,2,2,2,1,1,2,23-Oct,
2023-10-06,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/6,2024/11/27 0:45,29.0,29.5,12.8,1.0,2.2,1,1,1,1,1,1,23-Oct,
2023-10-07,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/7,2024/11/27 0:30,0.0,175.5,119.2,34.0,115.5,3,10,3,1,2,10,23-Oct,
2023-10-08,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/8,2024/11/27 0:30,0.0,126.1,81.1,36.9,70.0,4,6,2,1,1,6,23-Oct,
2023-10-09,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/9,2024/11/27 0:30,0.0,165.9,124.0,34.8,66.1,3,6,3,1,2,6,23-Oct,
2023-10-10,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/10,2024/11/27 0:45,71.5,25.0,13.6,20.8,48.8,2,3,1,3,1,3,23-Oct,
2023-10-11,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/11,2024/11/27 0:45,0.0,104.2,97.3,21.5,33.7,2,3,2,1,2,3,23-Oct,
2023-10-12,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/12,2024/11/27 0:30,24.7,50.7,16.9,12.0,26.2,2,2,1,1,1,2,23-Oct,
2023-10-13,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/13,2024/11/27 0:30,0.0,59.6,63.9,12.2,18.8,2,2,1,1,1,2,23-Oct,
2023-10-14,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/14,2024/11/27 0:30,0.0,181.0,118.3,45.1,66.6,5,6,3,1,2,6,23-Oct,
2023-10-15,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/15,2024/11/27 0:30,0.0,85.0,63.9,27.1,39.7,3,3,2,1,1,3,23-Oct,
2023-10-16,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/16,2024/11/27 0:30,0.0,130.2,117.3,68.4,79.8,9,7,2,1,2,9,23-Oct,
2023-10-17,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/17,2024/11/27 0:15,0.0,159.0,85.8,28.3,38.4,3,3,3,1,1,3,23-Oct,
2023-10-18,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/18,2024/11/27 0:15,0.0,54.2,46.3,11.7,18.1,2,2,1,1,1,2,23-Oct,
2023-10-19,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/19,2024/11/27 0:15,0.0,126.1,48.6,23.7,42.0,3,3,2,1,1,3,23-Oct,
2023-10-20,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/20,2024/11/27 0:30,0.0,54.8,27.7,11.0,19.9,1,2,1,1,1,2,23-Oct,
2023-10-21,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/21,2024/11/27 0:00,0.0,61.0,54.8,12.4,20.4,2,2,1,1,1,2,23-Oct,
2023-10-22,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/22,2024/11/27 0:15,0.0,163.1,104.0,85.5,114.5,10,10,3,1,2,10,23-Oct,
2023-10-23,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/23,2024/11/27 0:00,0.0,85.0,56.7,31.2,52.1,3,4,2,1,1,4,23-Oct,
2023-10-24,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/24,2024/11/27 0:15,0.0,111.0,50.1,30.7,63.3,3,5,2,1,1,5,23-Oct,
2023-10-25,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/25,2024/11/27 0:15,0.0,202.9,118.3,67.0,91.9,9,9,4,1,2,9,23-Oct,
2023-10-26,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/26,2024/11/27 0:00,0.0,63.8,39.1,19.8,33.9,2,3,1,1,1,3,23-Oct,
2023-10-27,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/27,2024/11/27 0:15,0.0,72.0,40.5,18.1,32.6,2,2,2,1,1,2,23-Oct,
2023-10-28,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/28,2024/11/27 0:00,0.0,68.6,46.7,23.8,36.8,3,3,2,1,1,3,23-Oct,
2023-10-29,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/10/29,2024/11/27 23:45,0.0,168.6,131.6,38.4,53.2,4,4,3,1,2,4,23-Oct,
2023-10-30,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/1,2024/11/27 0:00,0.0,172.7,101.1,42.5,60.6,5,5,3,1,2,5,23-Nov,2023/11/1
2023-10-31,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/1,2024/11/27 0:00,0.0,172.7,101.1,42.5,60.6,5,5,3,1,2,5,23-Nov,2023/11/1
2023-11-01,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/1,2024/11/27 0:00,0.0,172.7,101.1,42.5,60.6,5,5,3,1,2,5,23-Nov,
2023-11-02,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/3,2024/11/27 0:00,0.0,194.7,164.0,35.6,53.5,4,4,3,1,2,4,23-Nov,2023/11/3
2023-11-03,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/3,2024/11/27 0:00,0.0,194.7,164.0,35.6,53.5,4,4,3,1,2,4,23-Nov,
2023-11-04,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/4,2024/11/27 23:30,0.0,211.1,175.5,33.0,43.3,3,3,4,1,2,4,23-Nov,
2023-11-05,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/5,2024/11/27 23:30,0.0,205.6,217.4,51.9,60.9,6,5,4,1,3,6,23-Nov,
2023-11-06,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/6,2024/11/27 23:30,0.0,172.7,196.5,39.1,52.7,4,4,3,1,3,4,23-Nov,
2023-11-07,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/7,2024/11/27 23:30,0.0,102.8,107.8,21.7,29.6,2,2,2,1,2,2,23-Nov,
2023-11-08,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/8,2024/11/27 23:15,0.0,224.8,251.8,61.5,90.8,8,8,4,1,3,8,23-Nov,
2023-11-09,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/9,2024/11/27 23:30,0.0,337.2,320.4,82.1,112.3,10,10,6,1,4,10,23-Nov,
2023-11-10,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/10,2024/11/27 23:15,0.0,91.9,112.5,24.2,38.3,3,3,2,1,2,3,23-Nov,
2023-11-11,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/15,2024/11/27 2:00,0.0,227.6,143.1,90.6,114.0,10,10,4,1,2,10,23-Nov,2023/11/15
2023-11-12,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/15,2024/11/27 2:00,0.0,227.6,143.1,90.6,114.0,10,10,4,1,2,10,23-Nov,2023/11/15
2023-11-13,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/15,2024/11/27 2:00,0.0,227.6,143.1,90.6,114.0,10,10,4,1,2,10,23-Nov,2023/11/15
2023-11-14,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/15,2024/11/27 2:00,0.0,227.6,143.1,90.6,114.0,10,10,4,1,2,10,23-Nov,2023/11/15
2023-11-15,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/15,2024/11/27 2:00,0.0,227.6,143.1,90.6,114.0,10,10,4,1,2,10,23-Nov,
2023-11-16,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/16,2024/11/27 23:15,0.0,70.6,55.8,12.5,21.0,2,2,2,1,1,2,23-Nov,
2023-11-17,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/17,2024/11/27 23:15,0.0,61.7,33.4,6.7,11.9,1,1,1,1,1,1,23-Nov,
2023-11-18,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/18,2024/11/27 23:15,0.0,74.0,79.2,12.1,20.5,2,2,2,1,1,2,23-Nov,
2023-11-19,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/19,2024/11/27 23:15,0.0,139.8,104.9,23.7,35.7,3,3,3,1,2,3,23-Nov,
2023-11-20,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/20,2024/11/27 23:15,0.0,145.3,87.7,19.2,23.8,2,2,3,1,1,3,23-Nov,
2023-11-21,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/21,2024/11/27 22:45,2.8,62.4,20.3,2.7,4.9,1,1,1,1,1,1,23-Nov,
2023-11-22,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/22,2024/11/27 23:00,0.0,77.5,77.3,15.9,25.0,2,2,2,1,1,2,23-Nov,
2023-11-23,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/23,2024/11/27 23:15,0.0,263.2,228.9,105.3,121.4,10,10,4,1,3,10,23-Nov,
2023-11-24,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/24,2024/11/27 22:45,0.0,224.8,129.7,70.0,86.5,9,8,4,1,2,9,23-Nov,
2023-11-25,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/25,2024/11/27 23:15,0.0,117.9,62.9,28.5,38.2,3,3,2,1,1,3,23-Nov,
2023-11-26,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/26,2024/11/27 23:00,0.0,70.6,61.0,24.9,37.2,3,3,2,1,1,3,23-Nov,
2023-11-27,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/27,2024/11/27 23:00,0.0,197.4,179.3,52.6,99.7,6,9,3,1,3,9,23-Nov,
2023-11-28,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/28,2024/11/27 23:15,0.0,61.0,42.0,10.1,16.5,1,2,1,1,1,2,23-Nov,
2023-11-29,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/29,2024/11/27 23:00,0.0,213.9,173.6,51.3,75.4,6,7,4,1,2,7,23-Nov,
2023-11-30,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/11/30,2024/11/27 22:30,0.0,160.4,150.7,53.1,74.0,7,6,3,1,2,7,23-Nov,
2023-12-01,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/1,2024/11/27 22:45,0.0,244.0,263.2,60.6,82.5,8,7,4,1,3,8,23-Dec,
2023-12-02,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/4,2024/11/27 0:00,0.0,153.5,122.1,52.2,70.9,6,6,3,1,2,6,23-Dec,2023/12/4
2023-12-03,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/4,2024/11/27 0:00,0.0,153.5,122.1,52.2,70.9,6,6,3,1,2,6,23-Dec,2023/12/4
2023-12-04,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/4,2024/11/27 0:00,0.0,153.5,122.1,52.2,70.9,6,6,3,1,2,6,23-Dec,
2023-12-05,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/5,2024/11/27 23:15,0.0,120.6,129.7,26.1,36.8,3,3,2,1,2,3,23-Dec,
2023-12-06,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/6,2024/11/27 23:15,0.0,329.0,373.8,128.9,162.6,10,10,5,1,5,10,23-Dec,
2023-12-07,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/7,2024/11/27 23:00,0.0,56.2,39.1,12.2,21.0,2,2,1,1,1,2,23-Dec,
2023-12-08,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/8,2024/11/27 22:30,0.0,157.7,148.8,38.5,56.0,4,4,3,1,2,4,23-Dec,
2023-12-09,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/9,2024/11/27 23:00,0.0,271.4,289.9,77.1,103.4,10,10,5,1,4,10,23-Dec,
2023-12-10,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/10,2024/11/27 22:45,0.0,67.2,25.0,19.2,32.7,2,2,2,1,1,2,23-Dec,
2023-12-11,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/11,2024/11/27 23:00,0.0,345.5,248.0,119.3,143.1,10,10,6,1,3,10,23-Dec,
2023-12-12,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/12,2024/11/27 22:45,0.0,575.8,511.2,150.1,187.4,10,10,9,1,6,10,23-Dec,
2023-12-13,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/13,2024/11/27 22:45,0.0,252.3,278.5,65.9,81.5,9,7,4,1,4,9,23-Dec,
2023-12-14,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/14,2024/11/27 22:30,0.0,56.2,77.3,14.9,22.3,2,2,1,1,1,2,23-Dec,
2023-12-15,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/15,2024/11/27 22:45,0.0,113.8,141.1,20.2,29.0,2,2,2,1,2,2,23-Dec,
2023-12-16,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/16,2024/11/27 22:30,0.0,252.3,223.2,54.5,68.5,7,6,4,1,3,7,23-Dec,
2023-12-17,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/17,2024/11/27 22:45,0.0,122.0,165.9,25.1,37.8,3,3,2,1,2,3,23-Dec,
2023-12-18,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/18,2024/11/27 22:15,0.0,73.3,67.7,27.7,41.8,3,3,2,1,1,3,23-Dec,
2023-12-19,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/19,2024/11/27 23:00,0.0,537.4,347.1,134.0,182.0,10,10,9,1,4,10,23-Dec,
2023-12-20,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/20,2024/11/27 22:15,0.0,438.7,316.6,105.5,137.0,10,10,7,1,4,10,23-Dec,
2023-12-21,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/21,2024/11/27 22:15,0.0,356.4,370.0,91.9,121.3,10,10,6,1,5,10,23-Dec,
2023-12-22,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/22,2024/11/27 22:00,0.0,460.6,423.4,110.7,133.9,10,10,7,1,5,10,23-Dec,
2023-12-23,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/23,2024/11/27 22:15,0.0,183.7,110.6,42.3,62.5,5,5,3,1,2,5,23-Dec,
2023-12-24,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/24,2024/11/27 22:15,0.0,141.2,146.9,22.6,34.0,2,3,3,1,2,3,23-Dec,
2023-12-25,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/25,2024/11/27 22:00,0.0,63.8,31.0,6.2,10.9,1,1,1,1,1,1,23-Dec,
2023-12-26,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/26,2024/11/27 22:30,0.0,96.0,124.0,19.7,29.8,2,2,2,1,2,2,23-Dec,
2023-12-27,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/27,2024/11/27 22:00,0.0,271.4,228.9,56.2,72.9,7,6,5,1,3,7,23-Dec,
2023-12-28,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/28,2024/11/27 22:00,0.0,63.1,62.9,17.9,25.9,2,2,1,1,1,2,23-Dec,
2023-12-29,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/29,2024/11/27 21:45,0.0,378.4,225.1,106.0,129.4,10,10,6,1,3,10,23-Dec,
2023-12-30,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/30,2024/11/27 21:45,0.0,249.5,206.0,90.1,112.6,10,10,4,1,3,10,23-Dec,
2023-12-31,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2023/12/31,2024/11/27 22:00,0.0,131.6,118.3,55.2,73.0,7,6,2,1,2,7,23-Dec,
2024-01-01,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/1,2024/11/27 22:00,0.0,202.9,183.1,50.3,68.9,6,6,4,1,3,6,24-Jan,
2024-01-02,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/2,2024/11/27 22:15,0.0,460.6,438.7,145.5,170.4,10,10,7,1,5,10,24-Jan,
2024-01-03,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/3,2024/11/27 21:45,0.0,80.2,54.4,37.9,51.0,4,4,2,1,1,4,24-Jan,
2024-01-04,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/4,2024/11/27 21:45,0.0,315.3,234.6,86.4,101.6,10,10,5,1,3,10,24-Jan,
2024-01-05,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/5,2024/11/27 21:45,0.0,61.7,41.5,5.8,10.6,1,1,1,1,1,1,24-Jan,
2024-01-06,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/6,2024/11/27 21:30,1.1,47.3,18.4,1.6,3.0,1,1,1,1,1,1,24-Jan,
2024-01-07,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/7,2024/11/27 21:15,0.0,238.5,251.8,61.8,75.7,8,7,4,1,3,8,24-Jan,
2024-01-08,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/8,2024/11/27 23:00,0.0,78.1,82.0,14.1,24.3,2,2,2,1,1,2,24-Jan,
2024-01-09,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/9,2024/11/27 21:45,0.0,67.2,67.7,16.5,31.2,2,2,2,1,1,2,24-Jan,
2024-01-10,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/10,2024/11/27 22:00,0.0,197.4,127.8,34.0,47.0,3,3,3,1,2,3,24-Jan,
2024-01-11,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/11,2024/11/27 21:30,0.0,227.6,196.5,42.0,58.1,5,5,4,1,3,5,24-Jan,
2024-01-12,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/12,2024/11/27 21:45,0.0,101.5,133.5,20.4,30.2,2,2,2,1,2,2,24-Jan,
2024-01-13,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/13,2024/11/27 21:45,0.0,117.9,118.3,15.9,23.0,2,2,2,1,2,2,24-Jan,
2024-01-14,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/14,2024/11/27 22:00,0.0,64.4,57.2,10.4,18.1,1,2,1,1,1,2,24-Jan,
2024-01-15,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/15,2024/11/27 21:45,0.0,77.5,42.4,18.7,31.9,2,2,2,1,1,2,24-Jan,
2024-01-16,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/16,2024/11/27 21:45,0.0,77.5,77.3,16.0,26.3,2,2,2,1,1,2,24-Jan,
2024-01-17,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/17,2024/11/27 21:15,0.0,128.9,145.0,28.1,39.3,3,3,2,1,2,3,24-Jan,
2024-01-18,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/18,2024/11/27 21:30,0.0,186.4,209.8,61.6,77.8,8,7,3,1,3,8,24-Jan,
2024-01-19,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/19,2024/11/27 21:45,0.0,315.3,236.5,119.8,141.8,10,10,5,1,3,10,24-Jan,
2024-01-20,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/20,2024/11/27 21:30,0.0,438.7,255.6,175.6,202.9,10,10,7,1,3,10,24-Jan,
2024-01-21,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/21,2024/11/27 21:00,0.0,81.6,75.3,39.8,50.8,4,4,2,1,1,4,24-Jan,
2024-01-22,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/22,2024/11/27 21:45,0.0,94.6,124.0,19.7,35.8,2,3,2,1,2,3,24-Jan,
2024-01-23,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/23,2024/11/27 21:30,0.0,105.6,91.6,19.9,28.9,2,2,2,1,2,2,24-Jan,
2024-01-24,Iran,Tehran,"35.73, 51.33",Asia/Tehran,2024/1/24,2024/11/27 21:15,0.0,101.5,38.6,12.4,19.0,2,2,2,1,1,2,24-Jan,
